,permno,hsiccd
3713558,14912,30.0
3742265,14939,38.0
3744570,14955,51.0
3764885,15042,44.0
3776822,15069,13.0
3778577,15077,21.0
3824648,15085,34.0
3834918,15149,33.0
3834923,15157,22.0
3834930,15165,28.0
3869057,15202,14.0
3894856,15237,34.0
3907543,15317,40.0
3907561,15272,99.0
3909768,15291,99.0
3927491,15325,48.0
3945553,15341,37.0
3957366,15368,48.0
3977213,15401,28.0
3977446,15404,49.0
3977698,15408,99.0
3979836,15448,20.0
3991405,15456,56.0
4017204,15464,35.0
4028884,15472,20.0
4028919,15480,35.0
4061506,15499,33.0
4061507,15528,28.0
4061511,15488,99.0
4089201,15536,12.0
4100890,15544,53.0
4100906,15553,49.0
4114797,15560,57.0
4149066,15579,36.0
4174904,15659,28.0
4194895,15667,28.0
4217021,15704,49.0
4224975,15707,73.0
4224985,15712,22.0
4243392,15720,49.0
4243398,15719,65.0
4271117,15747,33.0
4290510,15763,39.0
4306512,15797,73.0
4307101,15819,20.0
4318773,15835,20.0
4330401,15843,20.0
4346612,15850,99.0
4348653,15915,34.0
4364655,15966,29.0
4384114,15974,37.0
4402024,15980,23.0
4403970,16029,26.0
4419415,16044,28.0
4421335,16088,36.0
4421350,16087,38.0
4439160,16109,20.0
4455343,16176,49.0
4456063,16205,29.0
4467297,16256,27.0
4478044,16267,38.0
4478625,16280,37.0
4478630,16276,28.0
4480453,16279,28.0
4494354,16336,37.0
4509305,16344,32.0
4509307,16342,37.0
4511110,16343,58.0
4523778,16346,67.0
4524214,16347,33.0
4526016,16360,20.0
4542509,16424,34.0
4563192,16432,30.0
4563195,16431,20.0
4590308,16538,13.0
4592059,16544,99.0
4592335,16571,20.0
4610285,16581,65.0
4612025,16598,33.0
4626456,16600,20.0
4651680,16619,20.0
4664350,16651,35.0
4680496,16678,54.0
4682174,16686,27.0
4716887,16692,35.0
4718557,16707,32.0
4734883,16723,26.0
4746118,16731,32.0
4759592,16758,36.0
4773352,16803,34.0
4788702,16816,99.0
4790313,16851,28.0
4791905,16870,49.0
4791921,16926,22.0
4822797,16969,53.0
4835620,17005,59.0
4860600,17013,59.0
4870952,17048,78.0
4881760,17056,34.0
4891796,17064,23.0
4900989,17099,12.0
4901005,17128,26.0
4927128,17137,25.0
4930180,17144,20.0
4964928,17216,20.0
4973882,17232,50.0
4987429,17267,20.0
5000910,17278,51.0
5004798,17279,21.0
5006562,17291,54.0
5022121,17304,53.0
5022134,17312,26.0
5037699,17307,67.0
5049132,17340,45.0
5053841,17398,12.0
5063214,17419,67.0
5071775,17435,24.0
5087027,17451,26.0
5096495,17478,62.0
5122542,17486,20.0
5131698,17515,27.0
5142544,17558,54.0
5156154,17566,33.0
5174865,17582,33.0
5179209,17590,28.0
5184514,17603,35.0
5209250,17646,33.0
5224733,17654,37.0
5235382,17676,67.0
5236809,17689,33.0
5246506,17718,35.0
5246511,17700,73.0
5258702,17726,34.0
5283502,17742,37.0
5283518,17743,63.0
5309691,17750,26.0
5334491,17783,50.0
5335912,17806,33.0
5356486,17830,37.0
5381310,17849,67.0
5394531,17881,35.0
5403976,17929,49.0
5428735,17942,20.0
5430114,17953,67.0
5445351,17961,37.0
5469236,18016,28.0
5490178,18032,26.0
5507863,18065,37.0
5507888,18067,36.0
5527482,18112,16.0
5527586,18091,34.0
5552363,18092,38.0
5580867,18147,34.0
5580879,18142,36.0
5582180,18143,28.0
5601969,18163,28.0
5619225,18171,36.0
5626699,18198,89.0
5656000,18278,31.0
5656027,18315,16.0
5672804,18312,99.0
5690240,18327,99.0
5690929,18331,34.0
5704320,18366,35.0
5713314,18374,38.0
5731946,18382,28.0
5731949,18390,53.0
5764464,18403,53.0
5769669,18411,49.0
5812881,18420,99.0
5814087,18421,99.0
5815293,18428,28.0
5816489,18446,35.0
5833957,18454,20.0
5842900,18542,35.0
5865976,18550,53.0
5867544,18551,67.0
5886262,18569,30.0
5904966,18576,41.0
5905170,18585,27.0
5906155,18578,23.0
5920612,18592,7.0
5921766,18649,47.0
5946360,18681,37.0
5965638,18729,28.0
5965646,18724,59.0
5991340,18825,34.0
6003772,18841,35.0
6003776,18868,49.0
6020514,18884,53.0
6034559,18921,33.0
6053137,18948,37.0
6070857,18980,50.0
6087628,18999,34.0
6087636,19019,33.0
6117868,19027,28.0
6133042,19051,63.0
6151336,19107,56.0
6165233,19131,32.0
6181806,19166,28.0
6206029,19174,20.0
6223732,19203,37.0
6233637,19211,26.0
6243900,19254,10.0
6243905,19238,33.0
6278377,19270,22.0
6288162,19285,35.0
6289104,19286,36.0
6290046,19297,78.0
6303523,19334,37.0
6318411,19350,35.0
6341985,19377,67.0
6359109,19385,20.0
6369396,19393,28.0
6392917,19414,29.0
6392925,19430,28.0
6419101,19502,59.0
6442491,19510,53.0
6452903,19537,35.0
6468105,19553,29.0
6485042,19561,37.0
6508264,19589,54.0
6508465,19583,62.0
6514965,19596,45.0
6536040,19617,45.0
6547749,19625,33.0
6555053,19668,53.0
6563211,19684,37.0
6572474,19692,39.0
6590113,19713,67.0
6603159,19721,73.0
6626135,19756,20.0
6637036,19764,33.0
6651545,19772,26.0
6659951,19828,58.0
6659962,19807,38.0
6683621,19836,53.0
6683623,19844,29.0
6699355,19879,26.0
6710730,19887,20.0
6710749,19895,51.0
6741905,19916,20.0
6758956,19932,35.0
6767849,19940,20.0
6767867,19959,20.0
6785889,19967,20.0
6793289,20001,28.0
6802660,20036,26.0
6811081,20053,60.0
6822526,20057,99.0
6823310,20079,36.0
6837842,20095,53.0
6850838,20108,26.0
6856786,20124,60.0
6874258,20167,32.0
6885808,20190,99.0
6886576,20191,67.0
6887341,20204,34.0
6887350,20220,35.0
6907180,20239,49.0
6909934,20263,36.0
6954315,20298,13.0
6962051,20343,36.0
6962064,20386,26.0
6962072,20407,20.0
6988125,20394,35.0
7016365,20415,62.0
7038884,20431,61.0
7047622,20474,35.0
7047628,20482,28.0
7083072,20503,33.0
7090872,20511,23.0
7098645,20554,37.0
7098648,20562,37.0
7103649,20570,32.0
7132710,20626,28.0
7153497,20650,34.0
7159333,20677,22.0
7172550,20714,56.0
7184211,20730,48.0
7199489,20810,10.0
