,permno,hsiccd
2253240,12837,Food and Tobacco Manufacturing
2268099,12888,Metal and Machinery Manufacturing
2268102,12872,Chemical and Allied Manufacturing
2289563,12896,Food and Tobacco Manufacturing
2289565,12909,Transportation
2314026,12933,Food and Tobacco Manufacturing
2332055,12941,Electronic and Transportation Equipment Manufacturing
2343677,12976,Retail Trade
2360035,12981,Metal and Machinery Manufacturing
2363115,13004,Food and Tobacco Manufacturing
2373092,13012,Textile and Apparel Manufacturing
2389888,13035,Metal and Machinery Manufacturing
2392948,13056,Wood and Paper Manufacturing
2397420,13063,Retail Trade
2417026,13100,Retail Trade
2438210,13103,Electronic and Transportation Equipment Manufacturing
2441258,13119,Electronic and Transportation Equipment Manufacturing
2462590,13135,Mining
2479586,13143,Personal Services
2479595,13141,Mining
2481863,13142,"Finance, Insurance, and Real Estate"
2493303,13151,Mining
2511008,13168,Nonclassifiable Establishments
2514033,13207,Transportation
2525804,13210,Business Services
2528797,13274,Electronic and Transportation Equipment Manufacturing
2539505,13290,Textile and Apparel Manufacturing
2539533,13303,Electronic and Transportation Equipment Manufacturing
2585201,13311,Food and Tobacco Manufacturing
2600287,13354,Food and Tobacco Manufacturing
2600289,13323,Nonclassifiable Establishments
2621427,13356,Chemical and Allied Manufacturing
2621476,13362,Utilities
2631961,13370,Retail Trade
2647191,13389,Metal and Machinery Manufacturing
2656461,13434,Transportation
2656467,13407,Business Services
2671110,13442,Transportation
2682007,13447,Business Services
2684901,13511,Business Services
2687781,13522,Transportation
2703097,13549,Utilities
2711541,13565,Food and Tobacco Manufacturing
2724056,13567,Business Services
2724144,13573,Transportation
2737177,13610,Chemical and Allied Manufacturing
2737182,13586,Metal and Machinery Manufacturing
2740012,13598,Nonclassifiable Establishments
2740703,13637,Metal and Machinery Manufacturing
2780323,13641,Nonclassifiable Establishments
2783144,13696,Communications
2783155,13661,Metal and Machinery Manufacturing
2799760,13688,Utilities
2840765,13721,Chemical and Allied Manufacturing
2843533,13792,Transportation
2843621,13760,"Finance, Insurance, and Real Estate"
2846664,13805,Food and Tobacco Manufacturing
2846670,13788,Chemical and Allied Manufacturing
2874502,13821,Utilities
2896057,13856,Food and Tobacco Manufacturing
2896062,13864,Transportation
2928230,13901,Food and Tobacco Manufacturing
2954029,13928,Mining
2954032,13936,Textile and Apparel Manufacturing
2954047,13911,Business Services
3008307,13949,Nonclassifiable Establishments
3010953,13963,Nonclassifiable Establishments
3013597,13964,Nonclassifiable Establishments
3016241,13983,Chemical and Allied Manufacturing
3018897,14008,Chemical and Allied Manufacturing
3029115,14011,Chemical and Allied Manufacturing
3030949,14058,Utilities
3030950,14066,Electronic and Transportation Equipment Manufacturing
3047387,14154,Electronic and Transportation Equipment Manufacturing
3052617,14090,Electronic and Transportation Equipment Manufacturing
3089114,14189,Metal and Machinery Manufacturing
3104958,14218,Food and Tobacco Manufacturing
3122022,14250,Mining
3137129,14277,Retail Trade
3162928,14295,Business Services
3165187,14297,Business Services
3167724,14314,Chemical and Allied Manufacturing
3167727,14322,Retail Trade
3167730,14323,Metal and Machinery Manufacturing
3205037,14338,Personal Services
3207566,14357,Chemical and Allied Manufacturing
3223647,14402,Wood and Paper Manufacturing
3238104,14429,Chemical and Allied Manufacturing
3250076,14461,Personal Services
3272877,14488,Food and Tobacco Manufacturing
3272888,14496,Transportation
3272891,14509,Transportation
3315493,14525,Metal and Machinery Manufacturing
3331895,14533,Food and Tobacco Manufacturing
3331909,14541,Chemical and Allied Manufacturing
3372780,14542,Business Services
3375233,14568,Utilities
3380737,14579,Business Services
3383182,14592,Chemical and Allied Manufacturing
3383186,14593,Metal and Machinery Manufacturing
3400601,14605,Electronic and Transportation Equipment Manufacturing
3410825,14601,Nonclassifiable Establishments
3429957,14613,Electronic and Transportation Equipment Manufacturing
3441637,14656,Chemical and Allied Manufacturing
3441647,14664,Food and Tobacco Manufacturing
3441659,14699,Metal and Machinery Manufacturing
3487701,14702,Metal and Machinery Manufacturing
3498125,14736,Chemical and Allied Manufacturing
3500574,14704,Business Services
3502511,14714,Metal and Machinery Manufacturing
3504311,14728,Chemical and Allied Manufacturing
3535683,14760,Mining
3550828,14763,Chemical and Allied Manufacturing
3553199,14779,Mining
3553200,14776,"Finance, Insurance, and Real Estate"
3566233,14795,Metal and Machinery Manufacturing
3592032,14816,Food and Tobacco Manufacturing
3617831,14832,Textile and Apparel Manufacturing
3627732,14859,Business Services
3627741,14867,Metal and Machinery Manufacturing
3657562,14875,Metal and Machinery Manufacturing
3657566,14883,Wood and Paper Manufacturing
3668127,14882,Nonclassifiable Establishments
3690049,14891,Mining
3690054,14889,"Finance, Insurance, and Real Estate"
3713553,14904,Transportation
3713558,14912,Metal and Machinery Manufacturing
3742265,14939,Electronic and Transportation Equipment Manufacturing
3744570,14955,Wholesale Trade
3764885,15042,Transportation
3776822,15069,Mining
3778577,15077,Food and Tobacco Manufacturing
3824648,15085,Metal and Machinery Manufacturing
3834918,15149,Metal and Machinery Manufacturing
3834923,15157,Textile and Apparel Manufacturing
3834930,15165,Chemical and Allied Manufacturing
3869057,15202,Mining
3894856,15237,Metal and Machinery Manufacturing
3907543,15317,Transportation
3907561,15272,Nonclassifiable Establishments
3909768,15291,Nonclassifiable Establishments
3927491,15325,Communications
3945553,15341,Electronic and Transportation Equipment Manufacturing
3957366,15368,Communications
3977213,15401,Chemical and Allied Manufacturing
3977446,15404,Utilities
3977698,15408,Nonclassifiable Establishments
3979836,15448,Food and Tobacco Manufacturing
3991405,15456,Retail Trade
4017204,15464,Metal and Machinery Manufacturing
4028884,15472,Food and Tobacco Manufacturing
4028919,15480,Metal and Machinery Manufacturing
4061506,15499,Metal and Machinery Manufacturing
4061507,15528,Chemical and Allied Manufacturing
4061511,15488,Nonclassifiable Establishments
4089201,15536,Mining
4100890,15544,Retail Trade
4100906,15553,Utilities
4114797,15560,Retail Trade
4149066,15579,Electronic and Transportation Equipment Manufacturing
4174904,15659,Chemical and Allied Manufacturing
4194895,15667,Chemical and Allied Manufacturing
4217021,15704,Utilities
4224975,15707,Business Services
4224985,15712,Textile and Apparel Manufacturing
4243392,15720,Utilities
4243398,15719,"Finance, Insurance, and Real Estate"
4271117,15747,Metal and Machinery Manufacturing
4290510,15763,Electronic and Transportation Equipment Manufacturing
4306512,15797,Business Services
4307101,15819,Food and Tobacco Manufacturing
4318773,15835,Food and Tobacco Manufacturing
4330401,15843,Food and Tobacco Manufacturing
4346612,15850,Nonclassifiable Establishments
4348653,15915,Metal and Machinery Manufacturing
4364655,15966,Chemical and Allied Manufacturing
4384114,15974,Electronic and Transportation Equipment Manufacturing
4402024,15980,Textile and Apparel Manufacturing
4403970,16029,Wood and Paper Manufacturing
4419415,16044,Chemical and Allied Manufacturing
