,permno,hsiccd
8890479,23569,"Finance, Insurance, and Real Estate"
8890743,23570,Nonclassifiable Establishments
8890942,23579,Electronic and Transportation Equipment Manufacturing
8890998,23587,Transportation
8917236,23683,Food and Tobacco Manufacturing
8917293,23616,"Finance, Insurance, and Real Estate"
8920973,23660,Textile and Apparel Manufacturing
8931147,23675,Transportation
8945373,23712,Utilities
8964572,23720,Utilities
8977715,23747,Metal and Machinery Manufacturing
8980136,23878,Mining
8980182,23800,Retail Trade
8980203,23819,Mining
9007422,23851,Utilities
9020558,23876,Chemical and Allied Manufacturing
9025534,23886,Metal and Machinery Manufacturing
9025542,23887,Utilities
9036372,23894,Metal and Machinery Manufacturing
9051524,23907,Retail Trade
9055432,23915,Wood and Paper Manufacturing
9071081,23931,Utilities
9090023,23942,Nonclassifiable Establishments
9090149,23944,Metal and Machinery Manufacturing
9090274,23990,Chemical and Allied Manufacturing
9104588,24002,Utilities
9118954,24010,Utilities
9137820,24037,Electronic and Transportation Equipment Manufacturing
9146090,24046,Communications
9149058,24053,Utilities
9171043,24061,Utilities
9175851,24088,"Finance, Insurance, and Real Estate"
9183347,24096,Utilities
9196096,24109,Utilities
9217112,24141,Utilities
9226119,24176,Business Services
9226121,24174,Retail Trade
9226185,24175,Food and Tobacco Manufacturing
9226186,24184,Utilities
9243927,24192,Utilities
9255268,24205,Utilities
9273938,24221,Utilities
9289603,24264,Metal and Machinery Manufacturing
9304128,24272,Wholesale Trade
9322730,24328,Mining
9341310,24336,Electronic and Transportation Equipment Manufacturing
9350220,24360,Utilities
9363412,24387,Electronic and Transportation Equipment Manufacturing
9368849,24459,Business Services
9387356,24504,"Finance, Insurance, and Real Estate"
9391808,24539,Food and Tobacco Manufacturing
9404579,24555,Food and Tobacco Manufacturing
9412601,24563,Utilities
9426908,24571,Chemical and Allied Manufacturing
9434926,24619,Electronic and Transportation Equipment Manufacturing
9442094,24627,"Finance, Insurance, and Real Estate"
9450081,24635,Metal and Machinery Manufacturing
9459536,24643,Metal and Machinery Manufacturing
9470075,24651,Electronic and Transportation Equipment Manufacturing
9484358,24678,Chemical and Allied Manufacturing
9496727,24707,Textile and Apparel Manufacturing
9504893,24715,Chemical and Allied Manufacturing
9515880,24766,Electronic and Transportation Equipment Manufacturing
9534040,24803,Retail Trade
9544391,24811,Metal and Machinery Manufacturing
9560188,24854,Metal and Machinery Manufacturing
9566659,24889,Chemical and Allied Manufacturing
9570508,24942,Electronic and Transportation Equipment Manufacturing
9586488,24985,Utilities
9605393,24993,Mining
9608202,25005,Chemical and Allied Manufacturing
9619176,25013,Chemical and Allied Manufacturing
9629451,25022,Communications
9640988,25056,Utilities
9652146,25072,Utilities
9665749,25081,"Finance, Insurance, and Real Estate"
9668843,25099,Utilities
9694267,25128,Chemical and Allied Manufacturing
9697186,25136,Communications
9698238,25144,Utilities
9709771,25160,Wood and Paper Manufacturing
9718985,25179,Mining
9720829,25187,Business Services
9725186,25195,Metal and Machinery Manufacturing
9730802,25216,Chemical and Allied Manufacturing
9738581,25232,Utilities
9756103,25267,Mining
9769029,25320,Food and Tobacco Manufacturing
9786411,25339,Food and Tobacco Manufacturing
9789190,25371,Wood and Paper Manufacturing
9799545,25419,Electronic and Transportation Equipment Manufacturing
9816913,25478,Mining
9816916,25487,"Finance, Insurance, and Real Estate"
9816919,25507,Metal and Machinery Manufacturing
9844805,25515,"Finance, Insurance, and Real Estate"
9849938,25574,Metal and Machinery Manufacturing
9857159,25582,Electronic and Transportation Equipment Manufacturing
9874394,25590,Utilities
9891621,25611,Communications
9899269,25646,Wholesale Trade
9909159,25662,Chemical and Allied Manufacturing
9915927,25670,Metal and Machinery Manufacturing
9917722,25689,Textile and Apparel Manufacturing
9924646,25697,Electronic and Transportation Equipment Manufacturing
9931255,25718,Metal and Machinery Manufacturing
9941643,25742,Food and Tobacco Manufacturing
9942903,25769,Mining
9955607,25778,Business Services
9964910,25785,Electronic and Transportation Equipment Manufacturing
9981981,25873,"Finance, Insurance, and Real Estate"
9989068,25902,Metal and Machinery Manufacturing
9995472,25910,Food and Tobacco Manufacturing
10005020,25953,Metal and Machinery Manufacturing
10021904,25988,Chemical and Allied Manufacturing
10029204,26075,Transportation
10040207,26112,Transportation
10052414,26120,Mining
10058913,26155,Electronic and Transportation Equipment Manufacturing
10063672,26286,Metal and Machinery Manufacturing
10071875,26294,Electronic and Transportation Equipment Manufacturing
10081002,26307,Metal and Machinery Manufacturing
10088537,26323,Business Services
10091022,26332,"Finance, Insurance, and Real Estate"
10095989,26366,Metal and Machinery Manufacturing
10100672,26382,Mining
10114163,26390,Chemical and Allied Manufacturing
10122156,26403,Communications
10138803,26438,Electronic and Transportation Equipment Manufacturing
10149861,26446,Wood and Paper Manufacturing
10153101,26462,"Finance, Insurance, and Real Estate"
10158334,26497,Transportation
10164527,26518,Electronic and Transportation Equipment Manufacturing
10177012,26534,Metal and Machinery Manufacturing
10183300,26542,Metal and Machinery Manufacturing
10183302,26550,"Finance, Insurance, and Real Estate"
10183311,26569,Metal and Machinery Manufacturing
10207744,26622,Electronic and Transportation Equipment Manufacturing
10215462,26649,"Finance, Insurance, and Real Estate"
10231839,26657,Retail Trade
10244927,26681,Chemical and Allied Manufacturing
10254200,26710,"Finance, Insurance, and Real Estate"
10270516,26729,Electronic and Transportation Equipment Manufacturing
10270518,26737,Communications
10290369,26788,Utilities
10296516,26825,Food and Tobacco Manufacturing
10312787,26884,Metal and Machinery Manufacturing
10322796,26921,Metal and Machinery Manufacturing
10329215,27000,"Finance, Insurance, and Real Estate"
10336913,27027,Wood and Paper Manufacturing
10344239,27043,Electronic and Transportation Equipment Manufacturing
10352502,27051,Electronic and Transportation Equipment Manufacturing
10369647,27086,Business Services
10377470,27087,Retail Trade
10380419,27115,"Finance, Insurance, and Real Estate"
10389841,27158,Food and Tobacco Manufacturing
10396181,27182,Electronic and Transportation Equipment Manufacturing
10396182,27174,Textile and Apparel Manufacturing
10408749,27190,Electronic and Transportation Equipment Manufacturing
10415213,27238,Metal and Machinery Manufacturing
10422307,27263,"Finance, Insurance, and Real Estate"
10428716,27297,"Finance, Insurance, and Real Estate"
10434541,27342,Metal and Machinery Manufacturing
10439819,27422,Mining
10455784,27430,Metal and Machinery Manufacturing
10471114,27465,Mining
10475132,27473,Electronic and Transportation Equipment Manufacturing
10482112,27510,Food and Tobacco Manufacturing
10487383,27537,Wood and Paper Manufacturing
10489134,27561,Transportation
10500578,27596,"Finance, Insurance, and Real Estate"
10509950,27617,"Finance, Insurance, and Real Estate"
10525881,27633,Business Services
10541809,27713,Electronic and Transportation Equipment Manufacturing
10553878,27748,Transportation
10558826,27749,Metal and Machinery Manufacturing
10568218,27756,Mining
10584379,27764,Metal and Machinery Manufacturing
10596102,27828,Metal and Machinery Manufacturing
10611906,27836,Textile and Apparel Manufacturing
10620771,27852,Chemical and Allied Manufacturing
10623723,27879,Chemical and Allied Manufacturing
10632518,27887,Electronic and Transportation Equipment Manufacturing
10648281,27916,Wood and Paper Manufacturing
10648286,27924,Wood and Paper Manufacturing
10657716,27940,"Finance, Insurance, and Real Estate"
10664767,27959,Utilities
10680492,27983,Metal and Machinery Manufacturing
10696218,27991,Utilities
10705927,28003,Metal and Machinery Manufacturing
10716574,28089,Metal and Machinery Manufacturing
10719761,28118,Electronic and Transportation Equipment Manufacturing
10735442,28134,Metal and Machinery Manufacturing
10741851,28169,Electronic and Transportation Equipment Manufacturing
10746275,28177,"Finance, Insurance, and Real Estate"
10751724,28222,Chemical and Allied Manufacturing
10767363,28265,"Finance, Insurance, and Real Estate"
10771901,28281,Retail Trade
10779115,28310,Chemical and Allied Manufacturing
10793958,28345,Mining
10802189,28353,Food and Tobacco Manufacturing
10819615,28388,"Finance, Insurance, and Real Estate"
10835200,28433,Metal and Machinery Manufacturing
10841477,28484,Chemical and Allied Manufacturing
10856983,28505,Chemical and Allied Manufacturing
10857323,28513,Metal and Machinery Manufacturing
10875209,28548,Communications
10881601,28580,Communications
10887126,28804,Transportation
10902606,28847,Transportation
10912702,28994,"Finance, Insurance, and Real Estate"
10914689,29102,Mining
10930169,29196,Utilities
10939006,29911,Wood and Paper Manufacturing
10943603,29946,Food and Tobacco Manufacturing
10959083,29962,"Finance, Insurance, and Real Estate"
10965667,30067,Electronic and Transportation Equipment Manufacturing
10970245,30330,Communications
10978706,30365,Food and Tobacco Manufacturing
10984372,30382,Retail Trade
10993093,30681,Business Services
11005964,30912,"Finance, Insurance, and Real Estate"
11013074,30940,Metal and Machinery Manufacturing
11025945,31536,Electronic and Transportation Equipment Manufacturing
11035014,31659,Transportation
11041743,31763,Chemical and Allied Manufacturing
11047306,32141,"Finance, Insurance, and Real Estate"
11052628,32205,Retail Trade
11061777,32379,Chemical and Allied Manufacturing
11072602,32475,Wood and Paper Manufacturing
11080659,32563,Metal and Machinery Manufacturing
11090086,32707,Mining
11105566,32791,Mining
11117842,32803,Chemical and Allied Manufacturing
11133911,32870,Food and Tobacco Manufacturing
11149391,32942,Electronic and Transportation Equipment Manufacturing
11164871,32986,Utilities
11174955,33056,"Finance, Insurance, and Real Estate"
11179910,33312,"Finance, Insurance, and Real Estate"
11189101,33785,Electronic and Transportation Equipment Manufacturing
11197616,33814,Mining
11206507,33873,Retail Trade
11211167,34024,Wood and Paper Manufacturing
11216482,34032,Metal and Machinery Manufacturing
11230248,34040,Metal and Machinery Manufacturing
11240567,34147,Electronic and Transportation Equipment Manufacturing
11248873,34550,Electronic and Transportation Equipment Manufacturing
11251877,34746,"Finance, Insurance, and Real Estate"
11264156,34817,Metal and Machinery Manufacturing
11279636,34833,Mining
11288942,34841,Transportation
11305119,35044,"Finance, Insurance, and Real Estate"
11307907,35051,Metal and Machinery Manufacturing
11331372,35166,Metal and Machinery Manufacturing
11337230,35211,Chemical and Allied Manufacturing
11337236,35238,Retail Trade
11360068,35554,"Finance, Insurance, and Real Estate"
11372939,36003,Business Services
11388419,36127,"Finance, Insurance, and Real Estate"
11395543,36397,"Finance, Insurance, and Real Estate"
11408414,36468,Chemical and Allied Manufacturing
11416551,36469,"Finance, Insurance, and Real Estate"
11432991,36505,Electronic and Transportation Equipment Manufacturing
11438824,36978,Wood and Paper Manufacturing
11447986,37065,Retail Trade
11454335,37102,Chemical and Allied Manufacturing
11462472,37161,Utilities
11476065,37284,Chemical and Allied Manufacturing
11490224,37584,"Finance, Insurance, and Real Estate"
11500374,38041,Metal and Machinery Manufacturing
11505542,38093,"Finance, Insurance, and Real Estate"
11515505,38156,Utilities
11530985,38280,Chemical and Allied Manufacturing
11535704,38324,Food and Tobacco Manufacturing
11540790,38404,Food and Tobacco Manufacturing
11541746,38455,Retail Trade
11546211,38551,Business Services
11553076,38578,Electronic and Transportation Equipment Manufacturing
11565571,38682,Wood and Paper Manufacturing
11580478,38703,"Finance, Insurance, and Real Estate"
11595847,38762,Utilities
11611209,38893,Utilities
11611241,38850,Wood and Paper Manufacturing
11626584,38885,Textile and Apparel Manufacturing
11641958,38914,Business Services
11653206,38930,"Finance, Insurance, and Real Estate"
11656017,38973,Food and Tobacco Manufacturing
11667830,39087,Communications
11680478,39140,Textile and Apparel Manufacturing
11687009,39263,Food and Tobacco Manufacturing
11687023,39271,Retail Trade
11698708,39300,Metal and Machinery Manufacturing
11705540,39335,Communications
11712515,39394,Transportation
11718412,39458,Retail Trade
11722295,39538,Electronic and Transportation Equipment Manufacturing
11722402,39490,Mining
11752701,39626,Metal and Machinery Manufacturing
11756852,39642,Electronic and Transportation Equipment Manufacturing
11772021,39669,Personal Services
11778649,39765,Wholesale Trade
11789814,39896,Mining
11794334,39917,Wood and Paper Manufacturing
11809454,39992,Chemical and Allied Manufacturing
11814130,40010,Chemical and Allied Manufacturing
11819593,40053,Retail Trade
11825732,40061,Electronic and Transportation Equipment Manufacturing
11836776,40125,Business Services
11851865,40141,Retail Trade
11857460,40221,Electronic and Transportation Equipment Manufacturing
11864368,40272,Chemical and Allied Manufacturing
11879430,40301,Wood and Paper Manufacturing
11885421,40352,Retail Trade
11892596,40416,Chemical and Allied Manufacturing
11906620,40432,Textile and Apparel Manufacturing
11908319,40483,Business Services
11908321,40484,Business Services
11921998,40539,Retail Trade
11937010,40635,Wood and Paper Manufacturing
11944732,40723,Wood and Paper Manufacturing
11949916,40758,Wood and Paper Manufacturing
11950932,40790,Metal and Machinery Manufacturing
11954990,40838,Retail Trade
11964310,40854,Communications
11969617,41080,Metal and Machinery Manufacturing
11976796,41081,"Finance, Insurance, and Real Estate"
11990348,41160,Wood and Paper Manufacturing
11993451,41179,Chemical and Allied Manufacturing
12002317,41355,Metal and Machinery Manufacturing
12017183,41427,Textile and Apparel Manufacturing
12024466,41443,Communications
12035250,41478,Metal and Machinery Manufacturing
12035262,41486,Wood and Paper Manufacturing
12045313,41515,Food and Tobacco Manufacturing
12050392,41523,Mining
12058720,41662,Retail Trade
12064208,41718,"Finance, Insurance, and Real Estate"
12072024,41785,Metal and Machinery Manufacturing
12074226,42075,Wood and Paper Manufacturing
12074230,41929,Transportation
12087015,41953,Chemical and Allied Manufacturing
12093118,42024,Wholesale Trade
12110900,42091,"Finance, Insurance, and Real Estate"
12110906,42083,Chemical and Allied Manufacturing
12124981,42104,Electronic and Transportation Equipment Manufacturing
12133770,42200,Electronic and Transportation Equipment Manufacturing
12148493,42235,Metal and Machinery Manufacturing
12151804,42323,Food and Tobacco Manufacturing
12153901,42462,Retail Trade
12159148,42526,Retail Trade
12163997,42534,Wood and Paper Manufacturing
12176810,42550,Chemical and Allied Manufacturing
12191462,42569,Metal and Machinery Manufacturing
12199498,42585,Food and Tobacco Manufacturing
12208672,42606,Metal and Machinery Manufacturing
12223276,42657,Mining
12226745,42753,Metal and Machinery Manufacturing
12232963,42796,Wood and Paper Manufacturing
12247055,42833,Utilities
12255593,42877,Transportation
12261842,42906,"Finance, Insurance, and Real Estate"
12278572,42999,Electronic and Transportation Equipment Manufacturing
12283711,43094,Wholesale Trade
12284368,43123,Metal and Machinery Manufacturing
12291153,43132,Metal and Machinery Manufacturing
12301706,43203,Textile and Apparel Manufacturing
12304887,43298,Business Services
12307529,43318,Transportation
12314082,43342,Electronic and Transportation Equipment Manufacturing
12320861,43350,Metal and Machinery Manufacturing
12335840,43449,Retail Trade
12350311,43502,Electronic and Transportation Equipment Manufacturing
12354018,43510,Electronic and Transportation Equipment Manufacturing
12358575,43553,Textile and Apparel Manufacturing
12373032,43609,Food and Tobacco Manufacturing
12373033,43610,Chemical and Allied Manufacturing
12380991,43633,Metal and Machinery Manufacturing
12381661,43772,Wood and Paper Manufacturing
12394935,43916,Metal and Machinery Manufacturing
12402884,44062,Textile and Apparel Manufacturing
12411617,44206,Utilities
12425929,44273,Textile and Apparel Manufacturing
12430359,44329,Electronic and Transportation Equipment Manufacturing
12444628,44505,Metal and Machinery Manufacturing
12448430,44601,Wood and Paper Manufacturing
12462659,44644,Business Services
12476884,44652,Retail Trade
12484937,44792,Business Services
12491412,44951,Retail Trade
12504276,45014,Personal Services
12509870,45065,Mining
12514719,45081,Food and Tobacco Manufacturing
12518402,45225,Chemical and Allied Manufacturing
12532544,45241,Chemical and Allied Manufacturing
12544293,45277,Electronic and Transportation Equipment Manufacturing
12552729,45356,Wholesale Trade
12566856,45428,Mining
12575409,45495,Mining
12588329,45604,Chemical and Allied Manufacturing
12593789,45620,Retail Trade
12596311,45663,Food and Tobacco Manufacturing
12598876,45671,Electronic and Transportation Equipment Manufacturing
12608459,45751,"Finance, Insurance, and Real Estate"
12622522,45794,Metal and Machinery Manufacturing
12633223,45911,Electronic and Transportation Equipment Manufacturing
12647269,45970,"Finance, Insurance, and Real Estate"
12654879,46201,Electronic and Transportation Equipment Manufacturing
12657181,46228,Mining
12665424,46252,Food and Tobacco Manufacturing
12668742,46288,Construction
12671609,46295,Electronic and Transportation Equipment Manufacturing
12684225,46391,Utilities
12688512,46447,Chemical and Allied Manufacturing
12692326,46544,Retail Trade
12696729,46578,Chemical and Allied Manufacturing
12710686,46594,"Finance, Insurance, and Real Estate"
12717962,46615,Electronic and Transportation Equipment Manufacturing
12723277,46658,"Finance, Insurance, and Real Estate"
12730014,46674,Wholesale Trade
12736422,46682,"Finance, Insurance, and Real Estate"
12747821,46703,"Finance, Insurance, and Real Estate"
12761764,46754,Health and Social Services
12767206,46850,"Finance, Insurance, and Real Estate"
12775336,46877,Electronic and Transportation Equipment Manufacturing
12787749,46886,Electronic and Transportation Equipment Manufacturing
12798647,46922,Retail Trade
12812513,47028,Health and Social Services
12819740,47052,Communications
12825885,47079,"Finance, Insurance, and Real Estate"
12833441,47159,"Finance, Insurance, and Real Estate"
12842366,47175,Wholesale Trade
12852451,47271,Wholesale Trade
12861112,47300,"Finance, Insurance, and Real Estate"
12867443,47386,"Finance, Insurance, and Real Estate"
12870899,47466,Wood and Paper Manufacturing
12884760,47482,Retail Trade
12885384,47490,Textile and Apparel Manufacturing
12894860,47562,Food and Tobacco Manufacturing
12897965,47626,"Finance, Insurance, and Real Estate"
12911812,47837,Chemical and Allied Manufacturing
12918481,47896,"Finance, Insurance, and Real Estate"
12932308,47941,Health and Social Services
12946132,47992,Health and Social Services
12953393,48071,"Finance, Insurance, and Real Estate"
12961417,48119,Mining
12963367,48223,"Finance, Insurance, and Real Estate"
12969099,48258,"Finance, Insurance, and Real Estate"
12973034,48274,Utilities
12973035,48267,Electronic and Transportation Equipment Manufacturing
12991601,48354,"Finance, Insurance, and Real Estate"
12999194,48397,"Finance, Insurance, and Real Estate"
13007346,48434,Electronic and Transportation Equipment Manufacturing
13010686,48485,"Finance, Insurance, and Real Estate"
13019981,48486,Metal and Machinery Manufacturing
13029976,48506,Business Services
13043735,48514,Wholesale Trade
13053677,48549,Mining
13057601,48565,Construction
13065402,48653,"Finance, Insurance, and Real Estate"
13079147,48725,Transportation
13092883,48960,Wood and Paper Manufacturing
13102192,49015,"Finance, Insurance, and Real Estate"
13115904,49154,Retail Trade
13129604,49373,Personal Services
13143279,49429,Retail Trade
13156944,49592,"Finance, Insurance, and Real Estate"
13156946,49606,Communications
13165786,49656,"Finance, Insurance, and Real Estate"
13179424,49680,Electronic and Transportation Equipment Manufacturing
13193058,49744,Wood and Paper Manufacturing
13206689,49955,Mining
13206993,49905,Retail Trade
13216128,49920,Retail Trade
13229360,50017,Mining
13232477,50024,"Finance, Insurance, and Real Estate"
13247598,50032,Retail Trade
13256765,50156,Business Services
13259734,50200,"Finance, Insurance, and Real Estate"
13267697,50227,Transportation
13277782,50403,Communications
13281243,50404,Communications
13290164,50534,Metal and Machinery Manufacturing
13292846,50681,"Finance, Insurance, and Real Estate"
13295675,50737,Metal and Machinery Manufacturing
13300146,50876,Chemical and Allied Manufacturing
13308322,50905,Wood and Paper Manufacturing
13308472,50906,Electronic and Transportation Equipment Manufacturing
13330932,50956,"Finance, Insurance, and Real Estate"
13337945,51027,"Finance, Insurance, and Real Estate"
13339882,51043,"Finance, Insurance, and Real Estate"
13349939,51263,Metal and Machinery Manufacturing
13362810,51369,Electronic and Transportation Equipment Manufacturing
13376227,51377,Electronic and Transportation Equipment Manufacturing
13386557,51561,Health and Social Services
13391185,51588,"Finance, Insurance, and Real Estate"
13398832,51596,Utilities
13408047,51625,Personal Services
13421430,51706,"Finance, Insurance, and Real Estate"
13431158,51772,"Finance, Insurance, and Real Estate"
13438419,51799,Food and Tobacco Manufacturing
13441024,51801,"Finance, Insurance, and Real Estate"
13444676,52038,Wholesale Trade
13458003,52062,Construction
13462124,52070,Electronic and Transportation Equipment Manufacturing
13465570,52090,Food and Tobacco Manufacturing
13478441,52230,Business Services
13491735,52329,Business Services
13505021,52337,Health and Social Services
13518306,52476,Business Services
13531582,52505,"Finance, Insurance, and Real Estate"
13537806,52564,Textile and Apparel Manufacturing
13541414,52695,Wholesale Trade
13548436,52708,Construction
13567906,52821,"Finance, Insurance, and Real Estate"
13574667,52919,"Finance, Insurance, and Real Estate"
13584116,52978,Electronic and Transportation Equipment Manufacturing
13597328,53065,Business Services
13610532,53081,"Finance, Insurance, and Real Estate"
13617048,53225,Business Services
13630236,53401,Health and Social Services
13636773,53479,"Finance, Insurance, and Real Estate"
13645584,53612,Wholesale Trade
13654904,53613,Electronic and Transportation Equipment Manufacturing
13664880,53786,Utilities
13671860,53831,Construction
13681360,53858,"Finance, Insurance, and Real Estate"
13687406,53866,Retail Trade
13698380,53903,"Finance, Insurance, and Real Estate"
13702966,53938,"Finance, Insurance, and Real Estate"
13710034,54009,Transportation
13715450,54148,Construction
13728537,54181,Electronic and Transportation Equipment Manufacturing
13738019,54447,Personal Services
13743158,54463,"Finance, Insurance, and Real Estate"
13750384,54615,"Finance, Insurance, and Real Estate"
13753045,54690,Personal Services
13761610,54754,Wood and Paper Manufacturing
13765764,54827,Electronic and Transportation Equipment Manufacturing
13776103,55079,Construction
13782163,55212,Metal and Machinery Manufacturing
13795127,55351,Retail Trade
13798997,55386,Metal and Machinery Manufacturing
13801401,55685,Mining
13803555,55976,Retail Trade
13816443,56012,Retail Trade
13817689,56098,Wood and Paper Manufacturing
13819185,56186,Health and Social Services
13822154,56223,Wood and Paper Manufacturing
13830823,56232,"Finance, Insurance, and Real Estate"
13841488,56266,"Finance, Insurance, and Real Estate"
13850540,56274,Food and Tobacco Manufacturing
13863411,56450,"Finance, Insurance, and Real Estate"
13869930,56485,Metal and Machinery Manufacturing
13873537,56573,Metal and Machinery Manufacturing
13886350,56805,"Finance, Insurance, and Real Estate"
13889988,56864,Food and Tobacco Manufacturing
13893724,57234,Electronic and Transportation Equipment Manufacturing
13897517,57250,"Finance, Insurance, and Real Estate"
13902821,57381,Utilities
13909286,57488,Chemical and Allied Manufacturing
13913087,57568,Metal and Machinery Manufacturing
13925958,57592,Metal and Machinery Manufacturing
13932736,57665,Metal and Machinery Manufacturing
13943597,57779,Utilities
13944813,57809,Metal and Machinery Manufacturing
13955918,57817,Retail Trade
13968789,57904,"Finance, Insurance, and Real Estate"
13981488,58085,Mining
13987131,58093,"Finance, Insurance, and Real Estate"
13990762,58094,"Finance, Insurance, and Real Estate"
13996882,58246,"Finance, Insurance, and Real Estate"
14009753,58296,Chemical and Allied Manufacturing
14015825,58318,Metal and Machinery Manufacturing
14028471,58413,"Finance, Insurance, and Real Estate"
14040718,58464,Metal and Machinery Manufacturing
14045925,58472,"Finance, Insurance, and Real Estate"
14054629,58480,Personal Services
14060698,58596,Chemical and Allied Manufacturing
14064984,58640,Electronic and Transportation Equipment Manufacturing
14073357,58659,Utilities
14075361,58683,Transportation
14088232,58819,Utilities
14101103,58827,"Finance, Insurance, and Real Estate"
14107621,58990,Wood and Paper Manufacturing
14116454,59010,Retail Trade
14128460,59176,"Finance, Insurance, and Real Estate"
14141331,59184,Food and Tobacco Manufacturing
14150398,59192,"Finance, Insurance, and Real Estate"
14161266,59205,Retail Trade
14165503,59221,"Finance, Insurance, and Real Estate"
14167849,59248,Food and Tobacco Manufacturing
14180093,59300,"Finance, Insurance, and Real Estate"
14191158,59328,Electronic and Transportation Equipment Manufacturing
14204029,59345,"Finance, Insurance, and Real Estate"
14210011,59379,"Finance, Insurance, and Real Estate"
14218728,59408,"Finance, Insurance, and Real Estate"
14231599,59416,Food and Tobacco Manufacturing
14234731,59467,Mining
14234738,59432,Transportation
14241142,59440,"Finance, Insurance, and Real Estate"
14250226,59459,"Finance, Insurance, and Real Estate"
14274416,59483,Transportation
14287192,59707,Metal and Machinery Manufacturing
14293683,59811,Business Services
14296541,59926,Health and Social Services
14303056,60046,Metal and Machinery Manufacturing
14308391,60097,Electronic and Transportation Equipment Manufacturing
14321262,60206,Retail Trade
14334133,60337,Metal and Machinery Manufacturing
14338155,60441,Health and Social Services
14341844,60442,"Finance, Insurance, and Real Estate"
14356535,60506,Electronic and Transportation Equipment Manufacturing
14369406,60572,Metal and Machinery Manufacturing
14371477,60599,Communications
14384348,60628,Transportation
14395877,60839,"Finance, Insurance, and Real Estate"
14400766,60871,Electronic and Transportation Equipment Manufacturing
14413637,60900,Metal and Machinery Manufacturing
14417453,60943,Wood and Paper Manufacturing
14430324,60986,Metal and Machinery Manufacturing
14443195,61065,Retail Trade
14450084,61241,Electronic and Transportation Equipment Manufacturing
14462955,61284,"Finance, Insurance, and Real Estate"
14469291,61399,Retail Trade
14482162,61516,Electronic and Transportation Equipment Manufacturing
14493216,61583,Wood and Paper Manufacturing
14500212,61621,Business Services
14510381,61663,Chemical and Allied Manufacturing
14517641,61735,"Finance, Insurance, and Real Estate"
14528629,61743,Wood and Paper Manufacturing
14541500,61794,Business Services
14542959,61815,Mining
14555015,61890,Utilities
14556669,61970,Food and Tobacco Manufacturing
14558742,62092,Electronic and Transportation Equipment Manufacturing
14571613,62148,Transportation
14582486,62164,Metal and Machinery Manufacturing
14587615,62252,"Finance, Insurance, and Real Estate"
14594191,62308,"Finance, Insurance, and Real Estate"
14607062,62324,Wood and Paper Manufacturing
14612941,62498,Chemical and Allied Manufacturing
14625812,62519,Transportation
14633337,62770,"Finance, Insurance, and Real Estate"
14641892,62834,Chemical and Allied Manufacturing
14648213,63060,Retail Trade
14656367,63096,Wholesale Trade
14658984,63108,Transportation
14666413,63255,Food and Tobacco Manufacturing
14667458,63467,"Finance, Insurance, and Real Estate"
14678283,63765,Mining
14691154,63802,Communications
14695307,63830,Metal and Machinery Manufacturing
14706185,63845,"Finance, Insurance, and Real Estate"
14712298,64020,Retail Trade
14724740,64064,Wholesale Trade
14727686,64186,"Finance, Insurance, and Real Estate"
14738199,64207,Business Services
14741009,64282,Retail Trade
14753843,64311,Transportation
14764309,64346,Metal and Machinery Manufacturing
14771045,64390,"Finance, Insurance, and Real Estate"
14783916,64451,"Finance, Insurance, and Real Estate"
14792701,64477,Utilities
14797229,64531,"Finance, Insurance, and Real Estate"
14803935,64565,"Finance, Insurance, and Real Estate"
14811331,64629,Metal and Machinery Manufacturing
14820673,64653,"Finance, Insurance, and Real Estate"
14831543,64856,Chemical and Allied Manufacturing
14836103,64936,Mining
14846332,64995,"Finance, Insurance, and Real Estate"
14859203,65066,Business Services
14864040,65138,"Finance, Insurance, and Real Estate"
14872002,65330,"Finance, Insurance, and Real Estate"
14881331,65402,Electronic and Transportation Equipment Manufacturing
14891476,65541,Electronic and Transportation Equipment Manufacturing
14901796,65568,Mining
14906670,65787,Wood and Paper Manufacturing
14912774,65816,Metal and Machinery Manufacturing
14917184,65859,Communications
14921138,65875,Communications
14931187,65883,Communications
14936958,65947,"Finance, Insurance, and Real Estate"
14948523,66018,Communications
14950850,66026,Communications
14955251,66069,Mining
14958205,66093,Communications
14968254,66114,Wood and Paper Manufacturing
14975327,66122,Communications
14979465,66157,"Finance, Insurance, and Real Estate"
14992336,66181,Retail Trade
15002994,66384,Metal and Machinery Manufacturing
15002997,66325,"Finance, Insurance, and Real Estate"
15025988,66800,"Finance, Insurance, and Real Estate"
15038859,67467,Retail Trade
15048569,67571,"Finance, Insurance, and Real Estate"
15052401,67598,"Finance, Insurance, and Real Estate"
15062130,68049,Retail Trade
15068267,68144,"Finance, Insurance, and Real Estate"
15076948,68304,"Finance, Insurance, and Real Estate"
15082645,68523,Business Services
15082663,68347,Metal and Machinery Manufacturing
15100060,68591,Electronic and Transportation Equipment Manufacturing
15110125,68857,Communications
15117796,69024,Business Services
15120059,69032,"Finance, Insurance, and Real Estate"
15129580,69550,Chemical and Allied Manufacturing
15141621,69607,Metal and Machinery Manufacturing
15146466,69649,"Finance, Insurance, and Real Estate"
15156674,69796,Food and Tobacco Manufacturing
15166117,70033,Electronic and Transportation Equipment Manufacturing
15175564,70092,Construction
15184993,70229,Business Services
15191063,70308,Wholesale Trade
15198479,70332,Mining
15206759,70376,Retail Trade
15213725,70500,Food and Tobacco Manufacturing
